id,speaker,text,next,choices,note
lobby_02,주인공,저편에 누군가가 보인다.,lobby_03,,로비공간 – 맵의 4/3 지점에 수직으로 강이 놓여 있다.
lobby_03,주인공,너는 누구지?,lobby_04,
lobby_04,낯선 무언가,나는 너다.,lobby_05,
lobby_05,주인공,네가 나라고? 여긴 어디지?,lobby_06,
lobby_06,낯선 무언가,나는 너로부터 분리된 또다른 나다. 이곳은 너의 사념체가 너 자신을 타자화 시켜 만들어낸 가공의 공간이다. 이승과 저승의 경계쯤 되겠지. 너 즉 나는 이미 죽었으며 곧 사라질 것이다. 하지만 어째선지 너는 그걸 바라지 않았던 것 같군.,lobby_07,
lobby_07,주인공,어째서지?,lobby_08,
lobby_08,낯선 무언가,나도 그 이유는 모른다. 나는 곧 저세계를 향해 떠날 예정이다. 그 이유를 발견하는대로 말이지.,lobby_09,
lobby_09,주인공,내가 죽었다는게 무슨 말이지? 나는 지금 살아 움직이고 있잖아.,lobby_10,
lobby_10,낯선 무언가,마음대로 생각해라. 어차피 이곳에서 할 수 있는건 정해져 있다. 시간이 얼마 남지 않았어. 이 공간도 나도 너도 곧 사라진다.,lobby_choice,
lobby_choice,주인공,(더 물어볼 것인가),,계속 질문:lobby_ask/납득:,납득 선택 시 대화 종료. 종료 후 연출: 주인공은 낯선 무언가와 대화를 마치고 이 세계의 타자를 찾아 나선다.
lobby_ask,낯선 무언가,"이 공간은 다섯 갈래로 짜여 있다. 목(木), 화(火), 토(土), 금(金), 수(水). 네가 살아서 오행이라 부르던 것.",lobby_ask_02,,
lobby_ask_02,주인공,그게 왜 여기 있지?,lobby_ask_03,,
lobby_ask_03,낯선 무언가,세계를 이해하려면 나눠야 하고 나누려면 이름이 필요했으니까. 네 인식은 세계를 다섯으로 잘랐다.,lobby_ask_04,,
lobby_ask_04,낯선 무언가,여기 있는 건 세계가 아니라 네 이해다. 그러니 네가 잘라둔 자리를 따라 형상이 생긴다.,lobby_ask_05,,
lobby_ask_05,주인공,무슨 형상이지?,lobby_ask_06,,
lobby_ask_06,낯선 무언가,타자. 너 아닌 모든 것. 네가 끝내 다 알지 못했던 것.,lobby_ask_07,,
lobby_ask_07,낯선 무언가,인식은 언제나 남는 것을 만든다. 포섭되지 않고 남은 것들이 저 강 너머에 서 있지.,lobby_ask_08,,
lobby_ask_08,주인공,다섯이라고 했잖나.,lobby_ask_09,,
lobby_ask_09,낯선 무언가,넷은 이미 형상을 얻었다. 나머지 하나는 아직 형상이 없어.,lobby_ask_10,,
lobby_ask_10,주인공,어째서지?,lobby_ask_11,,
lobby_ask_11,낯선 무언가,네가 한 번도 타자로 마주한 적 없는 것이기 때문이다.,lobby_ask_12,,"최종보스(타자화된 자기) 복선."
lobby_ask_12,주인공,그게 뭐지?,lobby_ask_13,,
lobby_ask_13,낯선 무언가,강을 건너면 알게 된다. 넷을 먼저 지나야 하지만.,lobby_ask_14,,
lobby_ask_14,주인공,…,,,대사 후 대화 종료. 종료 후 연출은 lobby_choice의 note 참고
