id,speaker,text,next,choices,note
to_choice,주인공,"(싸울 것인가, 말을 걸 것인가)",,싸운다:/대화한다:to_talk_01,"싸운다는 타겟이 비어 있어 대화가 그대로 끝난다. BossRoom 이 OnDialogueEnd 를 받아 Battle 로 넘어간다."
to_talk_01,주인공,너는 누구지?,to_talk_02,,
to_talk_02,토보스,나는 네가 생전에 상상하던 타자다.,to_talk_03,,
to_talk_03,주인공,무슨 말이지?,to_talk_04,,
to_talk_04,토보스,이 세계는 곧 너의 이해다. 네가 생전에 만났던 여러 타자들. 그들이 너에게 어떤 형태로든 인식되었을거다. 그들 중 하나가 바로 나다.,to_talk_05,,
to_talk_05,주인공,너는 그럼 여기 왜 나타난거지?,to_talk_06,,
to_talk_06,토보스,내가 나타난게 아니다. 네가 불러낸거지. 너의 영혼은 저승으로 갈 준비를 하고 있다.,to_talk_07,,
to_talk_07,토보스,"너는 두려움을 느꼈을거다. 너의 영혼이 이렇게 아무 정리도 없이 사라진다는 사실에. 하지만 영혼은 그런식으로 사라지지 않는다. 육체가 죽은 뒤에도 다시 흙으로 분해되기까지 시간이 걸리지 않나. 그 두려움의 근원이 사라질 때, 즉 너의 영혼의 인식이 정리될 때 비로소 사라지지.",to_talk_08,,
to_talk_08,토보스,하지만 시간이 무한한 것은 아니야. 너는 이러나 저러나 해체될거다.,to_talk_09,,
to_talk_09,주인공,그말은 즉 나는 내 영혼이 죽기 위해 이러고 있다는 건가?,to_talk_10,,
to_talk_10,토보스,뭐 어떻게 생각하든 자유야. 하지만 이 순간은 계속해서 지나가고 언젠간 끝이 날거다.,to_talk_11,,
to_talk_11,주인공,…,,,"도입 대사의 마지막 행. next 가 비어 있어 대화가 끝나고 전투가 시작된다."
to_win,주인공,(그의 힘을 받아들일 것인가),,힘을 받아들인다:to_win_geuk/거절한다:to_win_saeng,"승리 확정 후 BossRoom 이 이 행부터 재생한다(victoryStartId=to_win). 패배했을 때는 이 파일 대신 S13_BATTLE_LOSE 를 재생한다."
to_win_geuk,토보스,네가 이겼다. 나는 여기서 더 할일이 없어. 사라지기 전에 선물하나 주지.,to_skill,,"극(剋) 승리 경로 — 보스의 힘을 받아들인다."
to_skill,시스템,토 스킬을 획득하였습니다,,,"BossRoom 이 이 행 도달을 감지해 실제로 스킬을 지급하고 세이브한다."
to_win_saeng,토보스,받지 않겠다고? … 그럼 나는 나로 남는군.,to_win_saeng_02,,"생(生) 승리 경로 — 스킬을 거절한다."
to_win_saeng_02,토보스,나쁘지 않다. 내가 나로 남는 만큼 너도 너로 남을 테니.,to_coin,,
to_coin,시스템,의지 코인 5개를 얻었다,,,"BossRoom 이 이 행 도달을 감지해 의지 코인 5개를 지급하고 세이브한다."
