id,speaker,text,next,choices,note,tag
final_01,최종보스,너는 누구지?,final_02,,원문 #최종보스 조우 첫 줄. 최종보스가 먼저 묻는다. FinalBossRoom 의 introStartId 가 비어 있어 첫 행부터 재생되므로 id(final_01) 를 유지했다.,
final_02,주인공,"나는 두려움이다. 내 존재는 두려움에서 태어났지. 죽음이 내 신체에 밀착한 순간 비로소 나는 존재의 두려움을 느꼈다. 존재의 죽음, 존재가 사라진다는건 존재자에게 있어 가장 두려운 것.",final_03,,,
final_03,최종보스,무슨 소리지? 두렵다니 너는 이미 죽어있다. 죽어있는데 무엇이 두려운거지?,final_04,,원문의 '@@@ → 추가.' 표시 아래 구간 시작. 유저가 새로 쓴 정식 원문이라 그대로 넣었다.,
final_04,주인공,"맞아 난 죽어있지. 너도 마찬가지고. 그리고 또다시 우리는 죽음을 향해가고 있다. 죽는다는 그 사실이 두려운게 아니다. 죽음을 향해 간다는 것, 끝이 난다는 것이 두려운거다. 나의 존재, 나의 기억, 나의 세계. 경험으로 이루어진 모든 것들은 향해 가고 있는거다. 죽음을 향해. 하지만 너는 죽음으로부터 비켜서 있다. 마치 죽음이 없는 것처럼.",final_05,,,
final_05,최종보스,아니야 난 죽음이 두렵지 않아. 그건 순리일 뿐이다.,final_06,,,
final_06,주인공,"그래 맞아 순리지. 하지만 너는 죽음을 부정하고 있다. 너는 너의 죽음을, 죽음으로서 정면으로 마주하고 있지 않아. 너는 죽음에 비켜서있기에 네가 나를 불러낸 것.",final_07,,,
final_07,최종보스,난 확인하고 싶었을뿐이야. 죽음이 진정으로 무엇인지.,final_08,,,
final_08,주인공,우리가 죽음에 대해 알 수 있는건 거의 없다. 죽음을 객관적으로 인식한다는건 불가능해. 죽음 앞에는 단지 두려움만이 있을뿐이고 두려움이라는 표면만을 아는거다.,final_09,,,
final_09,최종보스,나는 나의 죽음을 두려움으로서가 아니라 진실로서 마주하고 싶었다. 나의 의식은 곧 끝이 난다. 내게 남은 의지가 있다면 죽음을 나의 자유로서 마주하고자 하는 것이다. 너는 이 나의 의지의 대리인이자 내 손에 죽기 위해 나의 의지로 이 세계에 왔다. 실제로 네가 여기서 할 수 있는건 그것 밖에 없지.,final_10,,이 행 다음에 원문 연출 메모 '@@@ 엔딩곡 재생 - 전투 내내 플레이? 예정 @@@' 가 있다. 대사가 아니므로 CSV 에는 넣지 않았다.,
final_10,주인공,나는 나의 의지로 여기까지 왔다.,final_11,,,
final_11,최종보스,맞아. 그 의지. 그리고 여기까지의 경험. 그것이야말로 내가 바라던 거였다. 이제서야 나에게 죽을 이유가 생긴거지. 너는 반드시 내게 대적해야 한다. 그리고 내 손에 죽어야 하지. 그렇게 되어있다. 이 세계는.,final_12,,,
final_12,주인공,기만적이군. 내 의지는 나의 자유다. 너까짓 것과는 아무 상관도 없어.,final_13,,,
final_13,최종보스,"그래 맞아. 네 의지는 너의 것이지. 바로 그 점이 중요한거다. 그 자유. 나는 그 자유가 필요했던 거다. 그 자유가 꺾일 때, 나는 나의 자유, 나의 세계 안에서 죽음을 맞이할거다.",final_14,,원문에서 이 발화는 도중에 한 번 줄바꿈되어 있다. 글자는 그대로 두고 그 줄바꿈 지점에서만 final_13 / final_14 로 나눠 한 화면 분량을 맞췄다(S04 to_talk_07·08 과 같은 방식).,
final_14,최종보스,"자 도망칠곳은 없다. 너의 의지, 너의 자유. 내게 전력으로 부딪혀와라...!",final_15,,,
final_15,주인공,…,,,원문 마지막 줄(주인공: …) 다음이 '-> 전투시작'. next 가 비어 있어 대화가 끝나면 FinalBossRoom 이 전투를 시작한다. 승패 분기는 대사가 아니라 코드가 처리하므로 승리·패배 대사 행은 없다.,
