id,speaker,text,next,choices,note
end2_01,나레이션,그는 자기 자신을 넘어섰다.,end2_02,,"엔딩2 = 최종보스 처치 + 의지 코인 4개 이상(= 타자들을 생(生)으로 보내며 아무것도 빼앗지 않은 쪽). 트루 엔딩."
end2_02,나레이션,넘어섰다는 말은 정확하지 않다. 그는 아무것도 빼앗지 않았다.,end2_03,,
end2_03,나레이션,"토도, 수도, 화도, 금도. 그가 만난 타자들은 끝내 타자인 채로 남았다.",end2_04,,
end2_04,나레이션,"그는 그것들을 이해하지 못한 채로 놓아주었고, 이해하지 못했다는 사실만을 쥐고 여기까지 왔다.",end2_05,,
end2_05,주인공,나는 끝내 아무것도 알지 못했다.,end2_06,,
end2_06,주인공,"세계가 무엇이었는지, 내가 누구였는지.",end2_07,,
end2_07,주인공,다만 그것들이 있었다는 것만은 분명하다.,end2_08,,"'첫번째 분명함은 사물들이 존재한다는 것이다' 의 회수."
end2_08,주인공,그거면 충분한 것 같다.,end2_09,,
end2_09,나레이션,두려움에서 태어난 것이 두려움을 끝냈다.,end2_10,,
end2_10,나레이션,"그의 자아는 정리되었고,",end2_11,,
end2_11,나레이션,이제 비로소 사라질 수 있게 되었다.,end2_12,,
end2_12,나레이션,그의 장엄한 시도는 조용히 끝났다.,,,"프롤로그의 '유치하게 끝났다' 와 대구. 대사 종료 후 Ending.cs 가 크레딧을 재생한다."
